iter	RMSE
0	4.426334632
1	4.32707229
2	4.232545245
3	4.143767231
4	4.060305452
5	3.980335956
6	3.90393341
7	3.831434937
8	3.765741889
9	3.704472955
10	3.652135119
11	3.596536586
12	3.549338449
13	3.501906293
14	3.454584934
15	3.408615805
16	3.370108429
17	3.331233991
18	3.295132046
19	3.260018511
20	3.230141161
21	3.201947362
22	3.173054787
23	3.143332324
24	3.119820917
25	3.097307869
26	3.073726112
27	3.052166358
28	3.031363317
29	3.012071964
30	2.995829598
31	2.978254746
32	2.960078324
33	2.944850043
34	2.928621299
35	2.913256799
36	2.898221999
37	2.886353929
38	2.872787939
39	2.862189128
40	2.847425743
41	2.835418755
42	2.824101081
43	2.8128397
44	2.801749809
45	2.792512615
46	2.783709866
47	2.774094406
48	2.765253762
49	2.757404212
50	2.7484466
51	2.741565563
52	2.73326908
53	2.724541902
54	2.716270952
55	2.708750426
56	2.701747123
57	2.693763563
58	2.686381332
59	2.679441029
60	2.672070664
61	2.66487767
62	2.660316228
63	2.654728313
64	2.648797158
65	2.642990523
66	2.637916206
67	2.632243272
68	2.627083133
69	2.622598996
70	2.617667205
71	2.612920732
72	2.607014188
73	2.602101719
74	2.59801006
75	2.593569548
76	2.590079354
77	2.586555599
78	2.582325826
79	2.578653479
80	2.573597989
81	2.56939018
82	2.566254582
83	2.562854886
84	2.559200898
85	2.555977576
86	2.553256617
87	2.549948174
88	2.545546251
89	2.541348596
90	2.538290819
91	2.535207911
92	2.531790484
93	2.528911377
94	2.526403394
95	2.523934241
96	2.520411808
97	2.517736194
98	2.514753664
99	2.511814376
100	2.507567912
101	2.504817804
102	2.503149062
103	2.499458582
104	2.498075966
105	2.496119973
106	2.493240277
107	2.491086599
108	2.487404005
109	2.48291506
110	2.480688163
111	2.47769121
112	2.474542755
113	2.471967099
114	2.470851346
115	2.468656879
116	2.466036494
117	2.46195823
118	2.459212596
119	2.455352208
120	2.452335712
121	2.449797231
122	2.447612317
123	2.445934552
124	2.443869446
125	2.44214459
126	2.439641425
127	2.438535019
128	2.436410478
129	2.434046336
130	2.431696766
131	2.42869642
132	2.426722159
133	2.425972919
134	2.425013054
135	2.421945989
136	2.420727792
137	2.418025836
138	2.4158168
139	2.413745919
140	2.412004376
141	2.410287978
142	2.407702695
143	2.405542387
144	2.403920665
145	2.402458416
146	2.40170323
147	2.39947394
148	2.398292305
149	2.39667181
150	2.39460896
151	2.393239244
152	2.392318769
153	2.38998787
154	2.388379268
155	2.386436922
156	2.384250216
157	2.38290122
158	2.380432168
159	2.379300538
160	2.377826469
161	2.376303401
162	2.374331304
163	2.373093844
164	2.37171274
165	2.368355714
166	2.366583247
167	2.364636335
168	2.361784055
169	2.360770696
170	2.358895186
171	2.35760101
172	2.355747681
173	2.353626514
174	2.351711745
175	2.349758452
176	2.34848388
177	2.347316754
178	2.345801571
179	2.344805524
180	2.342845831
181	2.341733496
182	2.341009508
183	2.339399526
184	2.338587429
185	2.336904056
186	2.3359771
187	2.335340593
188	2.334277752
189	2.333116363
190	2.33120688
191	2.328997467
192	2.327233051
193	2.325558152
194	2.32411454
195	2.322578076
196	2.319815686
197	2.319351993
198	2.317996027
199	2.316621833
200	2.3156483
201	2.314349498
202	2.312803178
203	2.311382945
204	2.310168471
205	2.308459445
206	2.305758504
207	2.304334012
208	2.303096016
209	2.30229321
210	2.300572274
211	2.299426268
212	2.298138001
213	2.297204472
214	2.2953852
215	2.294493899
216	2.293448198
217	2.292685707
218	2.290800631
219	2.289504721
220	2.287316855
221	2.284655245
222	2.281969729
223	2.280626436
224	2.279362234
225	2.278269476
226	2.27642878
227	2.275851492
228	2.273430021
229	2.272254435
230	2.270598727
231	2.269733477
232	2.268533375
233	2.267591043
234	2.266433052
235	2.264932338
236	2.264220221
237	2.262006996
238	2.260423095
239	2.258991471
240	2.257641912
241	2.256770267
242	2.256186907
243	2.255223616
244	2.253555943
245	2.25241603
246	2.251301527
247	2.250363527
248	2.248141249
249	2.247178422
250	2.246497681
251	2.244788083
252	2.242500591
253	2.241484112
254	2.240847896
255	2.239961441
256	2.238945026
257	2.23690303
258	2.235941922
259	2.235048277
260	2.234371697
261	2.233806404
262	2.232655172
263	2.231939813
264	2.231154181
265	2.230517938
266	2.229956249
267	2.22960477
268	2.228692097
269	2.227354751
